Zona;Latitudine;Longitudine;Orario;Volume Traffico;Velocità Media (km/h);Eventuali Rallentamenti;PM10 (μg/m³);NO2 (μg/m³);O3 (μg/m³);AQI;Bus
lido centro (rl);41.737.689.445.470.000;1.250.945.116.155.620;08:00-09:00;747;18;Elevati;38;31;32;33;14
lido centro (rl);41.737.689.445.470.000;1.250.945.116.155.620;12:00-13:00;311;36;Moderati;24;30;35;29;14
lido centro (rl);41.737.689.445.470.000;1.250.945.116.155.620;18:00-19:00;724;24;Elevati;20;30;36;28;14
gasparri;4.179.023.249.788.510;1.239.827.583.508.070;08:00-09:00;951;16;Elevati;35;32;39;35;1
gasparri;4.179.023.249.788.510;1.239.827.583.508.070;12:00-13:00;442;35;Moderati;25;31;37;31;1
gasparri;4.179.023.249.788.510;1.239.827.583.508.070;18:00-19:00;939;18;Elevati;37;38;33;36;1
porto;41.903.481.760.438.700;12.421.383.663.553.200;08:00-09:00;789;23;Elevati;23;27;37;29;1
porto;41.903.481.760.438.700;12.421.383.663.553.200;12:00-13:00;400;33;Moderati;25;35;46;35;1
porto;41.903.481.760.438.700;12.421.383.663.553.200;18:00-19:00;803;15;Elevati;37;35;30;34;1
flaminio (ma);4.196.430.207.524.190;12.527.798.060.808.300;08:00-09:00;921;23;Elevati;35;29;37;33;2bus
flaminio (ma);4.196.430.207.524.190;12.527.798.060.808.300;12:00-13:00;470;35;Moderati;36;38;41;38;2bus
flaminio (ma);4.196.430.207.524.190;12.527.798.060.808.300;18:00-19:00;854;23;Elevati;37;28;41;35;2bus
p.za mancini;4.197.097.475.310.510;1.220.171.613.937.720;08:00-09:00;858;15;Elevati;32;28;45;35;911
p.za mancini;4.197.097.475.310.510;1.220.171.613.937.720;12:00-13:00;322;38;Moderati;24;25;45;31;911
p.za mancini;4.197.097.475.310.510;1.220.171.613.937.720;18:00-19:00;869;24;Elevati;26;35;48;36;911
valle giulia;41.916.950;12.480.542;08:00-09:00;757;19;Elevati;24;34;49;35;3bus
valle giulia;41.916.950;12.480.542;12:00-13:00;421;32;Moderati;29;29;45;34;3bus
valle giulia;41.916.950;12.480.542;18:00-19:00;846;17;Elevati;37;29;37;34;3bus
valle giulia;41.916.950;12.480.542;08:00-09:00;707;16;Elevati;21;39;38;32;3bus
valle giulia;41.916.950;12.480.542;12:00-13:00;370;33;Moderati;38;25;46;36;3bus
valle giulia;41.916.950;12.480.542;18:00-19:00;966;21;Elevati;39;29;39;35;3bus
staz.ne trastevere (fs);41.891.370;12.514.663;08:00-09:00;744;18;Elevati;26;32;49;35;3nav
staz.ne trastevere (fs);41.891.370;12.514.663;12:00-13:00;318;33;Moderati;28;39;49;38;3nav
staz.ne trastevere (fs);41.891.370;12.514.663;18:00-19:00;858;20;Elevati;37;35;47;39;3nav
